nohup: ignoring input
Epoch 75, Loss: 0.0645, Train Accuracy: 0.97, Val Accuracy: 0.59
Epoch 76, Loss: 0.0548, Train Accuracy: 0.97, Val Accuracy: 0.59
Epoch 77, Loss: 0.1057, Train Accuracy: 0.97, Val Accuracy: 0.60
Epoch 78, Loss: 0.0979, Train Accuracy: 0.97, Val Accuracy: 0.59
Epoch 79, Loss: 0.1734, Train Accuracy: 0.97, Val Accuracy: 0.60
Epoch 80, Loss: 0.0379, Train Accuracy: 0.97, Val Accuracy: 0.59
Epoch 81, Loss: 0.1639, Train Accuracy: 0.97, Val Accuracy: 0.59
Epoch 82, Loss: 0.1132, Train Accuracy: 0.97, Val Accuracy: 0.59
Epoch 83, Loss: 0.0657, Train Accuracy: 0.96, Val Accuracy: 0.59
Epoch 84, Loss: 0.0534, Train Accuracy: 0.98, Val Accuracy: 0.59
Epoch 85, Loss: 0.3862, Train Accuracy: 0.98, Val Accuracy: 0.60
Epoch 86, Loss: 0.1713, Train Accuracy: 0.97, Val Accuracy: 0.59
Epoch 87, Loss: 0.0761, Train Accuracy: 0.98, Val Accuracy: 0.59
Epoch 88, Loss: 0.0277, Train Accuracy: 0.99, Val Accuracy: 0.60
Epoch 89, Loss: 0.0795, Train Accuracy: 0.98, Val Accuracy: 0.59
Epoch 90, Loss: 0.1115, Train Accuracy: 0.98, Val Accuracy: 0.59
Epoch 91, Loss: 0.1245, Train Accuracy: 0.98, Val Accuracy: 0.59
Epoch 92, Loss: 0.0750, Train Accuracy: 0.97, Val Accuracy: 0.59
Epoch 93, Loss: 0.0134, Train Accuracy: 0.98, Val Accuracy: 0.60
Epoch 94, Loss: 0.0432, Train Accuracy: 0.97, Val Accuracy: 0.59
Epoch 95, Loss: 0.0245, Train Accuracy: 0.98, Val Accuracy: 0.59
Epoch 96, Loss: 0.0331, Train Accuracy: 0.98, Val Accuracy: 0.60
Epoch 97, Loss: 0.0743, Train Accuracy: 0.98, Val Accuracy: 0.59
Epoch 98, Loss: 0.0514, Train Accuracy: 0.98, Val Accuracy: 0.59
Epoch 99, Loss: 0.0364, Train Accuracy: 0.98, Val Accuracy: 0.59
Epoch 100, Loss: 0.0784, Train Accuracy: 0.97, Val Accuracy: 0.60
Test Accuracy: 0.57
